n,scenario,run_id,method,noise_sigma,pearson_r,fdr,sca
3,Highly Unequal,62,Equal,,0.000000,0.000000,0.747832
3,Highly Unequal,62,Peer,8.0,0.975962,1.000000,0.951548
3,Highly Unequal,62,Instructor,12.0,0.047369,0.000000,0.882923
3,Highly Unequal,62,CATME,5.0,0.997612,1.000000,0.918835
3,Highly Unequal,62,Shapley (clean),0.0,0.997612,1.000000,0.918835
3,Highly Unequal,62,Shapley (noisy),4.0,0.997612,1.000000,0.918835
3,Highly Unequal,62,Shapley (noisy),8.0,0.438993,0.000000,0.585501
3,Highly Unequal,62,Shapley (noisy),12.0,0.997612,1.000000,0.918835
3,Highly Unequal,62,Shapley (noisy),16.0,0.000000,0.000000,0.747832
3,Highly Unequal,62,Shapley (noisy),20.0,0.997612,1.000000,0.918835
3,Highly Unequal,63,Equal,,0.000000,0.000000,0.788656
3,Highly Unequal,63,Peer,8.0,-0.920346,0.000000,0.853488
3,Highly Unequal,63,Instructor,12.0,0.337369,1.000000,0.587116
3,Highly Unequal,63,CATME,5.0,0.971254,1.000000,0.878011
3,Highly Unequal,63,Shapley (clean),0.0,0.975461,1.000000,0.912277
3,Highly Unequal,63,Shapley (noisy),4.0,-0.691780,0.000000,0.878011
3,Highly Unequal,63,Shapley (noisy),8.0,0.000000,0.000000,0.788656
3,Highly Unequal,63,Shapley (noisy),12.0,-0.279474,0.000000,0.878011
3,Highly Unequal,63,Shapley (noisy),16.0,0.279474,0.000000,0.544677
3,Highly Unequal,63,Shapley (noisy),20.0,0.279474,0.000000,0.544677
3,Highly Unequal,64,Equal,,0.000000,0.000000,0.674270
3,Highly Unequal,64,Peer,8.0,0.996562,1.000000,0.849761
3,Highly Unequal,64,Instructor,12.0,0.927739,1.000000,0.992397
3,Highly Unequal,64,CATME,5.0,0.927739,1.000000,0.992397
3,Highly Unequal,64,Shapley (clean),0.0,0.945845,1.000000,0.982404
3,Highly Unequal,64,Shapley (noisy),4.0,0.787095,0.000000,0.659064
3,Highly Unequal,64,Shapley (noisy),8.0,0.927739,1.000000,0.992397
3,Highly Unequal,64,Shapley (noisy),12.0,0.000000,0.000000,0.674270
3,Highly Unequal,64,Shapley (noisy),16.0,-0.927739,0.000000,0.659064
3,Highly Unequal,64,Shapley (noisy),20.0,-0.787095,0.000000,0.992397
3,Highly Unequal,65,Equal,,0.000000,,0.636653
3,Highly Unequal,65,Peer,8.0,0.978993,,0.978762
3,Highly Unequal,65,Instructor,12.0,-0.011733,,0.936534
3,Highly Unequal,65,CATME,5.0,0.987265,,0.884229
3,Highly Unequal,65,Shapley (clean),0.0,0.987265,,0.969986
3,Highly Unequal,65,Shapley (noisy),4.0,-0.987265,,0.696681
3,Highly Unequal,65,Shapley (noisy),8.0,0.000000,,0.636653
3,Highly Unequal,65,Shapley (noisy),12.0,0.000000,,0.636653
3,Highly Unequal,65,Shapley (noisy),16.0,-0.987265,,0.696681
3,Highly Unequal,65,Shapley (noisy),20.0,0.987265,,0.969986
3,Highly Unequal,66,Equal,,0.000000,0.000000,0.467643
3,Highly Unequal,66,Peer,8.0,0.920419,1.000000,0.891997
3,Highly Unequal,66,Instructor,12.0,0.908566,1.000000,0.885186
3,Highly Unequal,66,CATME,5.0,0.927091,1.000000,0.896135
3,Highly Unequal,66,Shapley (clean),0.0,0.995497,1.000000,0.979718
3,Highly Unequal,66,Shapley (noisy),4.0,-0.664910,0.000000,0.865690
3,Highly Unequal,66,Shapley (noisy),8.0,-0.314400,0.000000,0.865690
3,Highly Unequal,66,Shapley (noisy),12.0,-0.314400,0.000000,0.865690
3,Highly Unequal,66,Shapley (noisy),16.0,0.314400,0.000000,0.800977
3,Highly Unequal,66,Shapley (noisy),20.0,0.314400,0.000000,0.800977
3,Highly Unequal,67,Equal,,0.000000,,0.679067
3,Highly Unequal,67,Peer,8.0,0.967586,,0.867916
3,Highly Unequal,67,Instructor,12.0,0.953834,,0.965572
3,Highly Unequal,67,CATME,5.0,0.879952,,0.913260
3,Highly Unequal,67,Shapley (clean),0.0,0.964378,,0.899024
3,Highly Unequal,67,Shapley (noisy),4.0,-0.174561,,0.654266
3,Highly Unequal,67,Shapley (noisy),8.0,0.000000,,0.679067
3,Highly Unequal,67,Shapley (noisy),12.0,-0.174561,,0.654266
3,Highly Unequal,67,Shapley (noisy),16.0,-0.765449,,0.654266
3,Highly Unequal,67,Shapley (noisy),20.0,-0.765449,,0.654266
3,Highly Unequal,68,Equal,,0.000000,0.000000,0.669294
3,Highly Unequal,68,Peer,8.0,0.932360,1.000000,0.960795
3,Highly Unequal,68,Instructor,12.0,0.887167,1.000000,0.957624
3,Highly Unequal,68,CATME,5.0,0.905000,1.000000,0.983988
3,Highly Unequal,68,Shapley (clean),0.0,0.955128,1.000000,0.946788
3,Highly Unequal,68,Shapley (noisy),4.0,-0.848456,0.000000,0.664039
3,Highly Unequal,68,Shapley (noisy),8.0,0.034130,0.000000,0.997373
3,Highly Unequal,68,Shapley (noisy),12.0,0.000000,0.000000,0.669294
3,Highly Unequal,68,Shapley (noisy),16.0,0.882586,0.000000,0.664039
3,Highly Unequal,68,Shapley (noisy),20.0,0.848456,1.000000,0.997373
3,Highly Unequal,69,Equal,,0.000000,,0.764101
3,Highly Unequal,69,Peer,8.0,0.966375,,0.973782
3,Highly Unequal,69,Instructor,12.0,0.997752,,0.960685
3,Highly Unequal,69,CATME,5.0,0.993870,,0.991598
3,Highly Unequal,69,Shapley (clean),0.0,0.993870,,0.902566
3,Highly Unequal,69,Shapley (noisy),4.0,0.993870,,0.827485
3,Highly Unequal,69,Shapley (noisy),8.0,0.993870,,0.902566
3,Highly Unequal,69,Shapley (noisy),12.0,-0.670764,,0.838272
3,Highly Unequal,69,Shapley (noisy),16.0,0.000000,,0.764101
3,Highly Unequal,69,Shapley (noisy),20.0,0.401188,,0.569233
3,Highly Unequal,70,Equal,,0.000000,0.000000,0.636834
3,Highly Unequal,70,Peer,8.0,0.964245,1.000000,0.970167
3,Highly Unequal,70,Instructor,12.0,0.971177,1.000000,0.912359
3,Highly Unequal,70,CATME,5.0,0.964245,1.000000,0.970167
3,Highly Unequal,70,Shapley (clean),0.0,0.964245,1.000000,0.970167
3,Highly Unequal,70,Shapley (noisy),4.0,0.252614,0.000000,0.696499
3,Highly Unequal,70,Shapley (noisy),8.0,-0.920833,0.000000,0.953324
3,Highly Unequal,70,Shapley (noisy),12.0,-0.964245,0.000000,0.696499
3,Highly Unequal,70,Shapley (noisy),16.0,-0.711631,0.000000,0.715636
3,Highly Unequal,70,Shapley (noisy),20.0,-0.964245,0.000000,0.696499
3,Highly Unequal,71,Equal,,0.000000,0.000000,0.473537
3,Highly Unequal,71,Peer,8.0,0.953724,1.000000,0.896199
3,Highly Unequal,71,Instructor,12.0,0.742879,1.000000,0.828568
3,Highly Unequal,71,CATME,5.0,0.966315,0.000000,0.872798
3,Highly Unequal,71,Shapley (clean),0.0,0.995606,1.000000,0.986850
3,Highly Unequal,71,Shapley (noisy),4.0,0.663203,1.000000,0.806870
3,Highly Unequal,71,Shapley (noisy),8.0,-0.316567,0.000000,0.859796
3,Highly Unequal,71,Shapley (noisy),12.0,0.316567,0.000000,0.806870
3,Highly Unequal,71,Shapley (noisy),16.0,0.979769,0.000000,0.859796
3,Highly Unequal,71,Shapley (noisy),20.0,0.000000,0.000000,0.473537
3,Highly Unequal,72,Equal,,0.000000,0.000000,0.682304
3,Highly Unequal,72,Peer,8.0,0.777974,0.000000,0.773937
3,Highly Unequal,72,Instructor,12.0,0.675184,0.000000,0.841828
3,Highly Unequal,72,CATME,5.0,0.996553,0.000000,0.984363
3,Highly Unequal,72,Shapley (clean),0.0,0.996553,0.000000,0.984363
3,Highly Unequal,72,Shapley (noisy),4.0,-0.996553,0.000000,0.651030
3,Highly Unequal,72,Shapley (noisy),8.0,-0.996553,0.000000,0.651030
3,Highly Unequal,72,Shapley (noisy),12.0,0.000000,0.000000,0.682304
3,Highly Unequal,72,Shapley (noisy),16.0,-0.426430,0.000000,0.984363
3,Highly Unequal,72,Shapley (noisy),20.0,0.000000,0.000000,0.682304
3,Highly Unequal,73,Equal,,0.000000,,0.505735
3,Highly Unequal,73,Peer,8.0,0.890653,,0.940535
3,Highly Unequal,73,Instructor,12.0,0.979767,,0.816907
3,Highly Unequal,73,CATME,5.0,0.966519,,0.736536
3,Highly Unequal,73,Shapley (clean),0.0,0.999984,,0.890895
3,Highly Unequal,73,Shapley (noisy),4.0,0.000000,,0.505735
3,Highly Unequal,73,Shapley (noisy),8.0,0.575798,,0.839068
3,Highly Unequal,73,Shapley (noisy),12.0,0.000000,,0.505735
3,Highly Unequal,73,Shapley (noisy),16.0,0.962111,,0.936926
3,Highly Unequal,73,Shapley (noisy),20.0,-0.995954,,0.839068
3,Highly Unequal,74,Equal,,0.000000,0.000000,0.439621
3,Highly Unequal,74,Peer,8.0,0.998938,0.000000,0.893713
3,Highly Unequal,74,Instructor,12.0,0.998938,0.000000,0.893713
3,Highly Unequal,74,CATME,5.0,0.955538,0.500000,0.935643
3,Highly Unequal,74,Shapley (clean),0.0,0.998938,0.000000,0.893713
3,Highly Unequal,74,Shapley (noisy),4.0,0.000000,0.000000,0.439621
3,Highly Unequal,74,Shapley (noisy),8.0,0.000000,0.000000,0.439621
3,Highly Unequal,74,Shapley (noisy),12.0,0.000000,0.000000,0.439621
3,Highly Unequal,74,Shapley (noisy),16.0,0.000000,0.000000,0.439621
3,Highly Unequal,74,Shapley (noisy),20.0,-0.459571,0.000000,0.893713
3,Highly Unequal,75,Equal,,0.000000,0.000000,0.668453
3,Highly Unequal,75,Peer,8.0,0.993508,0.000000,0.867271
3,Highly Unequal,75,Instructor,12.0,0.993508,0.000000,0.998214
3,Highly Unequal,75,CATME,5.0,0.995261,0.000000,0.978724
3,Highly Unequal,75,Shapley (clean),0.0,0.993508,0.000000,0.998214
3,Highly Unequal,75,Shapley (noisy),4.0,-0.595272,0.500000,0.998214
3,Highly Unequal,75,Shapley (noisy),8.0,-0.595272,0.500000,0.998214
3,Highly Unequal,75,Shapley (noisy),12.0,0.000000,0.000000,0.668453
3,Highly Unequal,75,Shapley (noisy),16.0,-0.595272,0.500000,0.998214
3,Highly Unequal,75,Shapley (noisy),20.0,0.000000,0.000000,0.668453
3,Highly Unequal,76,Equal,,0.000000,0.000000,0.474295
3,Highly Unequal,76,Peer,8.0,0.684745,0.000000,0.830331
3,Highly Unequal,76,Instructor,12.0,0.998453,0.000000,0.859038
3,Highly Unequal,76,CATME,5.0,0.985105,1.000000,0.886860
3,Highly Unequal,76,Shapley (clean),0.0,0.998627,1.000000,0.861507
3,Highly Unequal,76,Shapley (noisy),4.0,0.547377,1.000000,0.807629
3,Highly Unequal,76,Shapley (noisy),8.0,-0.451077,0.000000,0.859038
3,Highly Unequal,76,Shapley (noisy),12.0,0.000000,0.000000,0.474295
3,Highly Unequal,76,Shapley (noisy),16.0,0.547377,1.000000,0.807629
3,Highly Unequal,76,Shapley (noisy),20.0,-0.451077,0.000000,0.859038
3,Highly Unequal,77,Equal,,0.000000,,0.925041
3,Highly Unequal,77,Peer,8.0,0.819080,,0.945935
3,Highly Unequal,77,Instructor,12.0,-0.200339,,0.948146
3,Highly Unequal,77,CATME,5.0,-0.242120,,0.932178
3,Highly Unequal,77,Shapley (clean),0.0,0.999999,,0.952249
3,Highly Unequal,77,Shapley (noisy),4.0,0.000000,,0.925041
3,Highly Unequal,77,Shapley (noisy),8.0,0.174067,,0.741625
3,Highly Unequal,77,Shapley (noisy),12.0,0.939838,,0.408292
3,Highly Unequal,77,Shapley (noisy),16.0,0.174067,,0.741625
3,Highly Unequal,77,Shapley (noisy),20.0,-0.765771,,0.408292
3,Highly Unequal,78,Equal,,0.000000,0.000000,0.565663
3,Highly Unequal,78,Peer,8.0,0.920076,1.000000,0.750701
3,Highly Unequal,78,Instructor,12.0,0.851329,1.000000,0.898996
3,Highly Unequal,78,CATME,5.0,0.898555,1.000000,0.828522
3,Highly Unequal,78,Shapley (clean),0.0,0.932739,1.000000,0.934697
3,Highly Unequal,78,Shapley (noisy),4.0,-0.851329,0.000000,0.767671
3,Highly Unequal,78,Shapley (noisy),8.0,0.000000,0.000000,0.565663
3,Highly Unequal,78,Shapley (noisy),12.0,0.028680,0.000000,0.898996
3,Highly Unequal,78,Shapley (noisy),16.0,-0.851329,0.000000,0.767671
3,Highly Unequal,78,Shapley (noisy),20.0,0.851329,1.000000,0.898996
3,Highly Unequal,79,Equal,,0.000000,0.000000,0.733060
3,Highly Unequal,79,Peer,8.0,0.998522,0.000000,0.862565
3,Highly Unequal,79,Instructor,12.0,0.706056,0.000000,0.891841
3,Highly Unequal,79,CATME,5.0,0.886174,1.000000,0.858243
3,Highly Unequal,79,Shapley (clean),0.0,0.999102,0.000000,0.927628
3,Highly Unequal,79,Shapley (noisy),4.0,-0.539806,0.000000,0.600274
3,Highly Unequal,79,Shapley (noisy),8.0,0.459108,1.000000,0.933607
3,Highly Unequal,79,Shapley (noisy),12.0,-0.998914,0.000000,0.933607
3,Highly Unequal,79,Shapley (noisy),16.0,-0.998914,0.000000,0.933607
3,Highly Unequal,79,Shapley (noisy),20.0,0.539806,0.000000,0.933607
3,Highly Unequal,80,Equal,,0.000000,0.000000,0.452738
3,Highly Unequal,80,Peer,8.0,0.913445,0.500000,0.878226
3,Highly Unequal,80,Instructor,12.0,0.625174,0.500000,0.647397
3,Highly Unequal,80,CATME,5.0,0.983576,0.000000,0.880596
3,Highly Unequal,80,Shapley (clean),0.0,0.997960,0.500000,0.984949
3,Highly Unequal,80,Shapley (noisy),4.0,0.000000,0.000000,0.452738
3,Highly Unequal,80,Shapley (noisy),8.0,0.983576,0.000000,0.880596
3,Highly Unequal,80,Shapley (noisy),12.0,0.000000,0.000000,0.452738
3,Highly Unequal,80,Shapley (noisy),16.0,-0.648099,0.000000,0.880596
3,Highly Unequal,80,Shapley (noisy),20.0,0.648099,0.500000,0.786071
3,Highly Unequal,81,Equal,,0.000000,0.000000,0.543627
3,Highly Unequal,81,Peer,8.0,0.972157,1.000000,0.959351
3,Highly Unequal,81,Instructor,12.0,0.936318,1.000000,0.932766
3,Highly Unequal,81,CATME,5.0,0.940245,1.000000,0.935143
3,Highly Unequal,81,Shapley (clean),0.0,0.953317,1.000000,0.943800
3,Highly Unequal,81,Shapley (noisy),4.0,-0.918644,0.000000,0.876961
3,Highly Unequal,81,Shapley (noisy),8.0,-0.918644,0.000000,0.876961
3,Highly Unequal,81,Shapley (noisy),12.0,0.000000,0.000000,0.543627
3,Highly Unequal,81,Shapley (noisy),16.0,0.801476,1.000000,0.876961
3,Highly Unequal,81,Shapley (noisy),20.0,-0.979714,0.000000,0.916853
3,Highly Unequal,82,Equal,,0.000000,0.000000,0.665633
3,Highly Unequal,82,Peer,8.0,0.988745,1.000000,0.980951
3,Highly Unequal,82,Instructor,12.0,0.988745,1.000000,0.987066
3,Highly Unequal,82,CATME,5.0,0.988745,1.000000,0.972701
3,Highly Unequal,82,Shapley (clean),0.0,0.988745,1.000000,0.998967
3,Highly Unequal,82,Shapley (noisy),4.0,-0.623937,0.000000,0.998967
3,Highly Unequal,82,Shapley (noisy),8.0,0.000000,0.000000,0.665633
3,Highly Unequal,82,Shapley (noisy),12.0,0.364808,0.000000,0.667700
3,Highly Unequal,82,Shapley (noisy),16.0,0.000000,0.000000,0.665633
3,Highly Unequal,82,Shapley (noisy),20.0,-0.623937,0.000000,0.998967
3,Highly Unequal,83,Equal,,0.000000,0.000000,0.635183
3,Highly Unequal,83,Peer,8.0,0.963521,0.333333,0.968517
3,Highly Unequal,83,Instructor,12.0,0.963521,0.333333,0.968517
3,Highly Unequal,83,CATME,5.0,0.963521,0.333333,0.968517
3,Highly Unequal,83,Shapley (clean),0.0,0.963521,0.333333,0.968517
3,Highly Unequal,83,Shapley (noisy),4.0,0.963521,0.333333,0.968517
3,Highly Unequal,83,Shapley (noisy),8.0,-0.963521,0.000000,0.698150
3,Highly Unequal,83,Shapley (noisy),12.0,0.000000,0.000000,0.635183
3,Highly Unequal,83,Shapley (noisy),16.0,-0.249985,0.333333,0.968517
3,Highly Unequal,83,Shapley (noisy),20.0,-0.249985,0.333333,0.968517
3,Highly Unequal,84,Equal,,0.000000,0.000000,0.395785
3,Highly Unequal,84,Peer,8.0,0.932032,1.000000,0.842376
3,Highly Unequal,84,Instructor,12.0,0.999842,1.000000,0.958170
3,Highly Unequal,84,CATME,5.0,0.910650,1.000000,0.853942
3,Highly Unequal,84,Shapley (clean),0.0,0.998949,0.000000,0.937548
3,Highly Unequal,84,Shapley (noisy),4.0,-0.459772,0.000000,0.937548
3,Highly Unequal,84,Shapley (noisy),8.0,-0.998949,0.000000,0.729118
3,Highly Unequal,84,Shapley (noisy),12.0,0.000000,0.000000,0.395785
3,Highly Unequal,84,Shapley (noisy),16.0,0.539176,1.000000,0.729118
3,Highly Unequal,84,Shapley (noisy),20.0,0.000000,0.000000,0.395785
3,Highly Unequal,85,Equal,,0.000000,0.000000,0.664721
3,Highly Unequal,85,Peer,8.0,0.950646,0.500000,0.818813
3,Highly Unequal,85,Instructor,12.0,0.859933,0.500000,0.963483
3,Highly Unequal,85,CATME,5.0,0.736523,0.500000,0.871524
3,Highly Unequal,85,Shapley (clean),0.0,0.968395,0.500000,0.901549
3,Highly Unequal,85,Shapley (noisy),4.0,0.207796,0.000000,0.998054
3,Highly Unequal,85,Shapley (noisy),8.0,0.000000,0.000000,0.664721
3,Highly Unequal,85,Shapley (noisy),12.0,0.000000,0.000000,0.664721
3,Highly Unequal,85,Shapley (noisy),16.0,0.743224,0.500000,0.998054
3,Highly Unequal,85,Shapley (noisy),20.0,0.743224,0.500000,0.998054
3,Highly Unequal,86,Equal,,0.000000,0.000000,0.802901
3,Highly Unequal,86,Peer,8.0,0.882337,0.500000,0.785524
3,Highly Unequal,86,Instructor,12.0,-0.985405,0.000000,0.944401
3,Highly Unequal,86,CATME,5.0,0.673045,0.500000,0.855358
3,Highly Unequal,86,Shapley (clean),0.0,0.994303,0.500000,0.944473
3,Highly Unequal,86,Shapley (noisy),4.0,0.345281,0.500000,0.863766
3,Highly Unequal,86,Shapley (noisy),8.0,-0.985405,0.000000,0.863766
3,Highly Unequal,86,Shapley (noisy),12.0,0.985405,0.000000,0.530433
3,Highly Unequal,86,Shapley (noisy),16.0,0.345281,0.500000,0.863766
3,Highly Unequal,86,Shapley (noisy),20.0,0.985405,0.000000,0.530433
3,Highly Unequal,87,Equal,,0.000000,,0.883198
3,Highly Unequal,87,Peer,8.0,0.796454,,0.849842
3,Highly Unequal,87,Instructor,12.0,0.972552,,0.993697
3,Highly Unequal,87,CATME,5.0,0.885970,,0.936387
3,Highly Unequal,87,Shapley (clean),0.0,0.997713,,0.953001
3,Highly Unequal,87,Shapley (noisy),4.0,0.000000,,0.883198
3,Highly Unequal,87,Shapley (noisy),8.0,0.969979,,0.450136
3,Highly Unequal,87,Shapley (noisy),12.0,0.969979,,0.450136
3,Highly Unequal,87,Shapley (noisy),16.0,0.969979,,0.450136
3,Highly Unequal,87,Shapley (noisy),20.0,-0.969979,,0.783469
3,Highly Unequal,88,Equal,,0.000000,,0.710696
3,Highly Unequal,88,Peer,8.0,0.999948,,0.903738
3,Highly Unequal,88,Instructor,12.0,0.963350,,0.882694
3,Highly Unequal,88,CATME,5.0,0.966697,,0.978261
3,Highly Unequal,88,Shapley (clean),0.0,0.962371,,0.955970
3,Highly Unequal,88,Shapley (noisy),4.0,0.962371,,0.955970
3,Highly Unequal,88,Shapley (noisy),8.0,0.245851,,0.622637
3,Highly Unequal,88,Shapley (noisy),12.0,0.000000,,0.710696
3,Highly Unequal,88,Shapley (noisy),16.0,0.716520,,0.622637
3,Highly Unequal,88,Shapley (noisy),20.0,0.245851,,0.622637
3,Highly Unequal,89,Equal,,0.000000,0.000000,0.841266
3,Highly Unequal,89,Peer,8.0,0.640008,1.000000,0.938990
3,Highly Unequal,89,Instructor,12.0,0.955827,1.000000,0.910932
3,Highly Unequal,89,CATME,5.0,0.992487,1.000000,0.994251
3,Highly Unequal,89,Shapley (clean),0.0,0.987404,1.000000,0.933026
3,Highly Unequal,89,Shapley (noisy),4.0,0.256592,0.000000,0.492067
3,Highly Unequal,89,Shapley (noisy),8.0,0.708735,0.000000,0.492067
3,Highly Unequal,89,Shapley (noisy),12.0,0.000000,0.000000,0.841266
3,Highly Unequal,89,Shapley (noisy),16.0,0.000000,0.000000,0.841266
3,Highly Unequal,89,Shapley (noisy),20.0,-0.256592,0.000000,0.825400
3,Highly Unequal,90,Equal,,0.000000,0.000000,0.467036
3,Highly Unequal,90,Peer,8.0,0.996831,1.000000,0.866097
3,Highly Unequal,90,Instructor,12.0,0.762034,1.000000,0.853922
3,Highly Unequal,90,CATME,5.0,0.985876,0.000000,0.756359
3,Highly Unequal,90,Shapley (clean),0.0,0.999059,1.000000,0.886905
3,Highly Unequal,90,Shapley (noisy),4.0,0.997449,0.000000,0.866298
3,Highly Unequal,90,Shapley (noisy),8.0,-0.560547,0.000000,0.866298
3,Highly Unequal,90,Shapley (noisy),12.0,0.000000,0.000000,0.467036
3,Highly Unequal,90,Shapley (noisy),16.0,-0.436902,0.000000,0.866298
3,Highly Unequal,90,Shapley (noisy),20.0,0.997449,0.000000,0.866298
3,Highly Unequal,91,Equal,,0.000000,0.000000,0.516397
3,Highly Unequal,91,Peer,8.0,0.969978,1.000000,0.907936
3,Highly Unequal,91,Instructor,12.0,0.997639,1.000000,0.845157
3,Highly Unequal,91,CATME,5.0,0.948742,1.000000,0.975623
3,Highly Unequal,91,Shapley (clean),0.0,0.999560,1.000000,0.902876
3,Highly Unequal,91,Shapley (noisy),4.0,0.403869,0.000000,0.849730
3,Highly Unequal,91,Shapley (noisy),8.0,-0.590320,0.000000,0.816936
3,Highly Unequal,91,Shapley (noisy),12.0,0.994189,0.000000,0.816936
3,Highly Unequal,91,Shapley (noisy),16.0,0.000000,0.000000,0.516397
3,Highly Unequal,91,Shapley (noisy),20.0,0.590320,1.000000,0.849730
3,Highly Unequal,92,Equal,,0.000000,0.000000,0.451590
3,Highly Unequal,92,Peer,8.0,0.967198,1.000000,0.921153
3,Highly Unequal,92,Instructor,12.0,0.999051,1.000000,0.866615
3,Highly Unequal,92,CATME,5.0,0.996237,1.000000,0.850193
3,Highly Unequal,92,Shapley (clean),0.0,0.999238,1.000000,0.997131
3,Highly Unequal,92,Shapley (noisy),4.0,0.632144,1.000000,0.784923
3,Highly Unequal,92,Shapley (noisy),8.0,0.987112,0.000000,0.881744
3,Highly Unequal,92,Shapley (noisy),12.0,-0.632144,0.000000,0.881744
3,Highly Unequal,92,Shapley (noisy),16.0,0.000000,0.000000,0.451590
3,Highly Unequal,92,Shapley (noisy),20.0,0.000000,0.000000,0.451590
3,Highly Unequal,93,Equal,,0.000000,0.000000,0.810996
3,Highly Unequal,93,Peer,8.0,0.878299,1.000000,0.899693
3,Highly Unequal,93,Instructor,12.0,0.393296,0.000000,0.803546
3,Highly Unequal,93,CATME,5.0,0.985188,1.000000,0.960870
3,Highly Unequal,93,Shapley (clean),0.0,0.982821,1.000000,0.938090
3,Highly Unequal,93,Shapley (noisy),4.0,-0.139255,0.000000,0.522337
3,Highly Unequal,93,Shapley (noisy),8.0,0.139255,0.000000,0.855671
3,Highly Unequal,93,Shapley (noisy),12.0,-0.927215,0.000000,0.855671
3,Highly Unequal,93,Shapley (noisy),16.0,0.139255,0.000000,0.855671
3,Highly Unequal,93,Shapley (noisy),20.0,0.787960,1.000000,0.855671
3,Highly Unequal,94,Equal,,0.000000,,0.938322
3,Highly Unequal,94,Peer,8.0,0.429200,,0.969972
3,Highly Unequal,94,Instructor,12.0,0.998342,,0.872577
3,Highly Unequal,94,CATME,5.0,0.928153,,0.931604
3,Highly Unequal,94,Shapley (clean),0.0,0.996178,,0.949584
3,Highly Unequal,94,Shapley (noisy),4.0,-0.924866,,0.395011
3,Highly Unequal,94,Shapley (noisy),8.0,0.924866,,0.728344
3,Highly Unequal,94,Shapley (noisy),12.0,-0.791777,,0.728344
3,Highly Unequal,94,Shapley (noisy),16.0,0.000000,,0.938322
3,Highly Unequal,94,Shapley (noisy),20.0,0.133089,,0.395011
3,Highly Unequal,95,Equal,,0.000000,0.000000,0.438796
3,Highly Unequal,95,Peer,8.0,0.999983,1.000000,0.961539
3,Highly Unequal,95,Instructor,12.0,0.792020,0.000000,0.873985
3,Highly Unequal,95,CATME,5.0,0.929894,0.000000,0.957548
3,Highly Unequal,95,Shapley (clean),0.0,0.999244,1.000000,0.934757
3,Highly Unequal,95,Shapley (noisy),4.0,-0.580925,0.000000,0.894537
3,Highly Unequal,95,Shapley (noisy),8.0,0.414445,0.000000,0.772130
3,Highly Unequal,95,Shapley (noisy),12.0,0.414445,0.000000,0.772130
3,Highly Unequal,95,Shapley (noisy),16.0,0.995370,0.000000,0.894537
3,Highly Unequal,95,Shapley (noisy),20.0,-0.580925,0.000000,0.894537
3,Highly Unequal,96,Equal,,0.000000,,0.632850
3,Highly Unequal,96,Peer,8.0,0.978712,,0.882072
3,Highly Unequal,96,Instructor,12.0,0.699764,,0.840329
3,Highly Unequal,96,CATME,5.0,0.977463,,0.956842
3,Highly Unequal,96,Shapley (clean),0.0,0.990368,,0.848329
3,Highly Unequal,96,Shapley (noisy),4.0,0.396129,,0.966184
3,Highly Unequal,96,Shapley (noisy),8.0,0.396129,,0.966184
3,Highly Unequal,96,Shapley (noisy),12.0,0.396129,,0.966184
3,Highly Unequal,96,Shapley (noisy),16.0,-0.597115,,0.700483
3,Highly Unequal,96,Shapley (noisy),20.0,0.993245,,0.700483
3,Highly Unequal,97,Equal,,0.000000,0.000000,0.540922
3,Highly Unequal,97,Peer,8.0,0.977665,0.000000,0.792411
3,Highly Unequal,97,Instructor,12.0,0.810189,0.000000,0.984652
3,Highly Unequal,97,CATME,5.0,0.992511,0.000000,0.960171
3,Highly Unequal,97,Shapley (clean),0.0,0.991286,0.000000,0.962545
3,Highly Unequal,97,Shapley (noisy),4.0,-0.306821,0.000000,0.792411
3,Highly Unequal,97,Shapley (noisy),8.0,-0.977665,1.000000,0.874255
3,Highly Unequal,97,Shapley (noisy),12.0,0.977665,0.000000,0.792411
3,Highly Unequal,97,Shapley (noisy),16.0,0.977665,0.000000,0.792411
3,Highly Unequal,97,Shapley (noisy),20.0,-0.977665,1.000000,0.874255
3,Highly Unequal,98,Equal,,0.000000,,0.964627
3,Highly Unequal,98,Peer,8.0,0.949926,,0.978802
3,Highly Unequal,98,Instructor,12.0,0.912157,,0.998317
3,Highly Unequal,98,CATME,5.0,0.932750,,0.951118
3,Highly Unequal,98,Shapley (clean),0.0,0.999128,,0.975340
3,Highly Unequal,98,Shapley (noisy),4.0,0.993076,,0.702039
3,Highly Unequal,98,Shapley (noisy),8.0,0.993076,,0.702039
3,Highly Unequal,98,Shapley (noisy),12.0,0.394802,,0.368706
3,Highly Unequal,98,Shapley (noisy),16.0,0.598274,,0.368706
3,Highly Unequal,98,Shapley (noisy),20.0,0.000000,,0.964627
3,Highly Unequal,99,Equal,,0.000000,0.000000,0.660653
3,Highly Unequal,99,Peer,8.0,0.781447,1.000000,0.942773
3,Highly Unequal,99,Instructor,12.0,-0.599794,0.000000,0.875667
3,Highly Unequal,99,CATME,5.0,0.921104,1.000000,0.999205
3,Highly Unequal,99,Shapley (clean),0.0,0.968856,1.000000,0.905157
3,Highly Unequal,99,Shapley (noisy),4.0,-0.951026,0.000000,0.993986
3,Highly Unequal,99,Shapley (noisy),8.0,0.207817,0.000000,0.993986
3,Highly Unequal,99,Shapley (noisy),12.0,0.000000,0.000000,0.660653
3,Highly Unequal,99,Shapley (noisy),16.0,0.000000,0.000000,0.660653
